VALUE_SET_CODE,ACCOUNT_TYPE,VALUE,DESCRIPTION,ENABLED_FLAG,START_DATE_ACTIVE,END_DATE_ACTIVE,CREATION_DATE,UPDATED_DATE
"KOJ Store",,10126002,"NAYJEDDAHMKTHEAD OFFICE",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,10126003,"NAY  KSA  In Transit",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,10129999,"KSA NAY Dummy Store",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,10130135,"MIK  Jeddah  Head Office",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,10139999,"KSA MIK Dummy Store",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,10149999,"KSA NBS Dummy Store",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,10219999,"KSA SOI Dummy Store",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,10235001,"MHR  Jeddah  Head Office",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,10236001,"MHR  JEDDAH  QA LOCATION",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,10239999,"KSA MHR Dummy Store",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,10246001,"NAM  JEDDAH  COMPONENT STORE",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,10246002,"NAM  KSA  Head Office Location",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,10249999,"KSA NAB Dummy Store",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,10280002,"LGO  KSA  Head Office",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,10289999,"KSA LGO Dummy Store",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,11110025,"ELC  Dubai  Head Office",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,11116001,"ELC  Dubai  Damaged Or Disposal",Y,,,2020-12-02T00:00:00.000+00:00,2021-06-01T00:00:00.000+00:00
"KOJ Store",,11119999,"UAE ELC Dummy Store",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,11120032,"NAY  Dubai  Head Office",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,11126001,"NAY  Dubai  QA Location",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,11126002,"NAYDUBAIMKTHEAD OFFICE",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,11126003,"NAY  UAE  In Transit",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,11129999,"UAE NAY Dummy Store",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,11130051,"MIK  Dubai  Head Office",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,11136001,"MIK  Dubai  QA Location",Y,,,2020-12-02T00:00:00.000+00:00,2021-06-01T00:00:00.000+00:00
"KOJ Store",,11136002,"MIK  Dubai  Component Store",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,11139999,"MIK  UAE  Dummy Store",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,11146001,"NBS  Dubai  Damaged Or Disposal",Y,,,2020-12-02T00:00:00.000+00:00,2021-06-01T00:00:00.000+00:00
"KOJ Store",,11146002,"NBS  Dubai  Head Office",Y,,,2020-12-02T00:00:00.000+00:00,2021-06-01T00:00:00.000+00:00
"KOJ Store",,11149999,"UAE NBS Dummy Store",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,11160005,"NYR  Dubai  Head Office",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,11166001,"NYR  Dubai  Damaged Or Disposal",Y,,,2020-12-02T00:00:00.000+00:00,2021-06-01T00:00:00.000+00:00
"KOJ Store",,11169999,"UAE NYR Dummy Store",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,11196001,"LST  Dubai  Damaged Or Disposal",N,,,2020-12-02T00:00:00.000+00:00,2021-06-01T00:00:00.000+00:00
"KOJ Store",,11206001,"ULP  Dubai  Damaged Or Disposal",N,,,2020-12-02T00:00:00.000+00:00,2021-05-31T00:00:00.000+00:00
"KOJ Store",,11219999,"UAE SOI Dummy Store",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,11230001,"MHR  Dubai  Head Office",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,11240001,"NAB  Dubai  Head Office",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,12119999,"QAT ELC Dummy Store",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,12126003,"NAY  Qatar  In Transit",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,12129999,"QAT NAY Dummy Store",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,12139999,"QAT MIK Dummy Store",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,12169999,"QAT NYR Dummy Store",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,12219999,"QAT SOI Dummy Store",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,13119999,"OMN ELC Dummy Store",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,13129999,"OMN NAY Dummy Store",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,13139999,"OMN MIK Dummy Store",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,13169999,"OMN NYR Dummy Store",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,14119999,"KWT ELC Dummy Store",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,14126003,"NAY  Kuwait  In Transit",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,14127001,"NAY  Kuwait  Tasking",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,14129999,"KWT NAY Dummy Store",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,14139999,"KWT MIK Dummy Store",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,15119999,"BHN ELC Dummy Store",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,15126003,"NAY  Bahrain  In Transit",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,15129999,"BHN NAY Dummy Store",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,15139999,"BHN MIK Dummy Store",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,16100004,"TBS  Morocco  Head Office",Y,,,2020-12-02T00:00:00.000+00:00,2021-06-01T00:00:00.000+00:00
"KOJ Store",,16109999,"MAR TBS Dummy Store",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,16129999,"MAR NAY Dummy Store",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,11118001,"ELC  UAE  Franchisee",Y,,,2020-12-02T00:00:00.000+00:00,2021-06-01T00:00:00.000+00:00
"KOJ Store",,11128001,"NAY  Libya  Franchisee",Y,,,2020-12-02T00:00:00.000+00:00,2021-06-01T00:00:00.000+00:00
"KOJ Store",,11128002,"NAY  Dubai  HO Franchise",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,11128003,"NAY  India  Shoppers Stop Franchise",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,11138002,"MIK  Libya  Franchisee",Y,,,2020-12-02T00:00:00.000+00:00,2021-06-01T00:00:00.000+00:00
"KOJ Store",,11138003,"MIK  Dubai  HO Franchise",Y,,,2020-12-02T00:00:00.000+00:00,2021-06-01T00:00:00.000+00:00
"KOJ Store",,11150002,"IntMik Dareen Mall",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
"KOJ Store",,11150003,"IntMik Al Maltani Mall Bandar",Y,,,2020-12-02T00:00:00.000+00:00,2020-12-02T00:00:00.000+00:00
